hotel,cleanliness,safety,accessibility,natural_beauty,accomodations,recreational_activity,weighted_rating,review
LaPiscinasResort,113.0,120.45,48.92,91.5,57.52,42.0,4.73,I love La Piscinas resort it was a great privilage that I was I am enjoying there swimming pool and there view:-)
LaPiscinasResort,90.4,120.45,48.92,91.5,57.52,42.0,4.51,LA piscinas resort isa ito sa MBA lugar na napuntahan ko at hindi ko mkakalimutan....napakagandang resort i really enjoy that resort
plusbeachresort,90.4,72.27,48.92,36.6,71.9,25.2,3.45,good room service and friendly management
plusbeachresort,113.0,120.45,48.92,73.2,57.52,33.6,4.47,Highly recommended!! They follow strict protocols and sanitations. A good and chill place to go!! ❤️
plusbeachresort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,"perfect ambience, safe and secured
highly recommended"
plusbeachresort,113.0,96.36,61.15,91.5,71.9,33.6,4.67,RECOMMENDABLE RESORT MUST VISIT ‼️❤️‼️
plusbeachresort,22.6,24.09,12.23,18.3,14.38,8.4,1.0,"So disappointed 😏 Nag booked me! nag Down payment para sure  pero pag abot namo,Ingnun rakag walay bakante Kay Puno naay ga rent tibook🫣Wala man lang mi ge advice😏.Kaloka 😏"
plusbeachresort,113.0,96.36,48.92,91.5,71.9,42.0,4.64,worth it kaayo inyong money sa rooms palang bawi na kaayo. tapos ang view chada pd sya .
plusbeachresort,113.0,96.36,61.15,91.5,71.9,42.0,4.76,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼
royalfarmresort,22.6,72.27,24.46,73.2,14.38,16.8,2.24,"We checked-in in 1 of the rooms, water coming out from the shower is very very slow! Wi-fi in the room is very very very slow!! Worst, because of the very slow connection,there are times that there is no internet inside the room; Staffs arent helpful when we had simple requests!! In short, not worth the money to stay in this resort!!"
royalfarmresort,90.4,96.36,36.69,91.5,57.52,42.0,4.14,"Thank you Royal Farm, my family & I always had a great time! every time we visited your resort.All staff are kind,nice & approachable not compared at Manuel Resort.Royal farm had always good vibes environment & beautiful open view place.We very much like their management 🙂👍."
royalfarmresort,113.0,96.36,48.92,54.9,71.9,33.6,4.19,Customer Service is great!!
royalfarmresort,45.2,72.27,24.46,73.2,14.38,16.8,2.46,Poor customer service. Staff are not accommodating.
royalfarmresort,90.4,72.27,61.15,73.2,57.52,42.0,3.96,Always fun to visit Royal Farm when we visit Dipolog - https://youtu.be/d-sRmUf35bk
royalfarmresort,45.2,72.27,12.23,73.2,28.76,8.4,2.4,Hindi nila pina paliguan yung pool nila pag tung2 ng 8pm dapat unli ligo kasi guest kami dito nakaka disappoint lang kasi ang layo ng byahe namin tapos pag dating hindi pala kami makapag relax👎‼️
royalfarmresort,90.4,120.45,48.92,73.2,57.52,42.0,4.32,"Affordable, child-friendly!!! 

PLUS mga staff mga bootan, approachable, walay libog, abtik!!!

Thank you Royal Farm!!!"
royalfarmresort,113.0,120.45,48.92,91.5,71.9,42.0,4.88,amazing resort.  staff are so helpful.  kids loved it. definitely coming again.  from the Marshall family.  United kingdom 🇬🇧
royalfarmresort,90.4,120.45,61.15,73.2,57.52,42.0,4.45,"nice place, lots of swimming pool, function hall.. Great hotel bar.. helpful concierge.."
royalfarmresort,113.0,96.36,61.15,73.2,71.9,33.6,4.49,I love these place its very convenient
solaj.resort,90.4,120.45,48.92,54.9,71.9,33.6,4.2,"Good food, good stay, warm and accommodating staff. ❤️"
solaj.resort,90.4,72.27,48.92,73.2,43.14,33.6,3.61,"The place was nice, but we were really disappointed because our food was served after almost 2 hours. Not even one staff came to us to explain the delay. Customer service need improvements."
solaj.resort,90.4,108.41,55.04,73.2,64.71,33.6,4.25,"Nice place but the serving of food needs improvement. We have to wait couple of minutes, almost an hour for the food to be serve."
solaj.resort,90.4,120.45,48.92,54.9,57.52,33.6,4.06,"Good food, Family friendly place and relaxing ambiance ♥️"
solaj.resort,90.4,72.27,61.15,91.5,43.14,33.6,3.92,"well... it's nice, very relaxing and you can Also Bath in the ocean.."
solaj.resort,90.4,96.36,36.69,73.2,57.52,25.2,3.79,"Every staff were friendly and accommodating. The place was great! The food was a 6/10. Overall, a great experience ♥️"
solaj.resort,113.0,120.45,48.92,73.2,57.52,33.6,4.47,"great place, very friendly staff, and clean surroundings. great food too! definitely recommended 😊💜"
solaj.resort,90.4,96.36,61.15,91.5,57.52,42.0,4.39,"Good food, friendly staff and the place was really great for a weekend getaway with friends or family. 💕"
solaj.resort,90.4,96.36,61.15,54.9,43.14,33.6,3.79,the best place to dine in and chill..food is so yummy..staff are so friendly..♥️😘planing to come back soon..🤟more power solaj and thank u xo much!😘🎉🎉🎉
solaj.resort,113.0,120.45,48.92,91.5,71.9,33.6,4.79,"very clean & serene place, accomodating staffs & yummy foods❤️"
TalizayBeachResortTabina,90.4,120.45,36.69,73.2,28.76,42.0,3.91,"t'was a great experience :) very nice .. but i gope u have ur cook :(    so that we can order :( like tinola, sinigang , sea foods  and dessert :) but all in all.. so nice place :) perfect to chill and relax :) Godbless more power"
TambuligMountainSpringResort,113.0,120.45,48.92,91.5,57.52,42.0,4.73,A lots of nice background you will enjoy to have your pictorial🤣sa mga hilig ug picture2 tambulig spring resort is best talaga😊the staff are very accomodating. The environment was relaxing due to its cleanliness and the beautiful lights at night was so fascinating mapapa wow! ka talaga. In Tambulig Spring Resort you can assure your enjoyment as well as the safety as they are disciplined enough in practicing the healthy protocols being mandated in this pandemic season.
TambuligMountainSpringResort,113.0,72.27,48.92,36.6,43.14,16.8,3.31,"I am from California and a few months ago I was confirmed herpes 1 virus positive and ever since then I have been doing research on how I can get rid of the virus, I was lucky to come across aba herbs. I inbox Dr Aire after scrolling through his page, the doctor responded nicely and told me that he is going to ship the cure medications to me via a shipping company, he also said I am going to get cured within. two to three weeks! I never doubted him because many have said so much good news about his herbal medicine on every site and everything really went as planned.. His herbal treatments are completely legit and I recommend you contact him on drairehome@gmail.com or WhatsApp his number on +2347036740271"
TambuligMountainSpringResort,113.0,96.36,36.69,91.5,57.52,33.6,4.29,The nice ambience and relaxing view and of course the cold and clean water 💛
TambuligMountainSpringResort,90.4,72.27,61.15,91.5,57.52,33.6,4.06,nice view & well manage by the lgu
TambuligMountainSpringResort,113.0,96.36,48.92,91.5,43.14,42.0,4.35,"the environments are stunning, with that massive koi fish on that pond are delightful to see. ahh.. can't wait for another vacation to dive again on tambulig spring.😍"
TambuligMountainSpringResort,113.0,120.45,48.92,91.5,71.9,33.6,4.79,very nice place and very relaxing😍
TambuligMountainSpringResort,90.4,120.45,48.92,54.9,57.52,42.0,4.14,the amazing super cold pool
TambuligMountainSpringResort,90.4,120.45,48.92,54.9,71.9,33.6,4.2,very convenient for the family
TambuligMountainSpringResort,113.0,96.36,61.15,73.2,43.14,33.6,4.2,Nice ambiance w d a very cold and clean water...
TambuligMountainSpringResort,113.0,120.45,48.92,91.5,57.52,42.0,4.73,verry nice place and relaxing
TubbudFloatingCottage,113.0,120.45,48.92,91.5,57.52,42.0,4.73,"Happy and best memorable outing 
malinis at maganda balik balikan magswimming."
TubbudFloatingCottage,113.0,96.36,36.69,91.5,57.52,42.0,4.37,very nice... really  satisfying once you experience swimming  & staying there..
TubbudFloatingCottage,90.4,120.45,48.92,73.2,57.52,33.6,4.24,We'll be back.Nice experience with a nice place.
TubbudFloatingCottage,90.4,96.36,36.69,91.5,43.14,33.6,3.92,"Nice Place To Enjoy and Relax With Family, Friends and Officemates💚❤️"
TubbudFloatingCottage,113.0,120.45,61.15,91.5,71.9,42.0,5.0,everything is cool..love that place👍👍❤❤❤
TubbudFloatingCottage,113.0,120.45,48.92,91.5,71.9,33.6,4.79,It's safe. Boatmen are accomodating and friendly. Cottages are clean. Everything😁
TubbudFloatingCottage,90.4,96.36,61.15,91.5,43.14,33.6,4.16,"nice Ang water clean and blue,nice view palibot😁"
TubbudFloatingCottage,113.0,120.45,61.15,73.2,71.9,33.6,4.73,"The place was awesome 😍
Very Accommodating Admin. and staff😍

Thumbs Up👍"
TubbudFloatingCottage,113.0,96.36,36.69,73.2,57.52,25.2,4.02,nice place & clean kaayu Ang water.
TubbudFloatingCottage,90.4,120.45,61.15,73.2,71.9,33.6,4.51,Nice and very accomodating ❤️
villapableamountainresort,90.4,120.45,61.15,73.2,71.9,33.6,4.51,"Nice food and accommodations, fresh air, cool nights, safe and the price is right."
villapableamountainresort,90.4,120.45,36.69,73.2,71.9,33.6,4.26,The crew here we're very accommodating..Food is delicious..
villapableamountainresort,90.4,120.45,48.92,54.9,57.52,25.2,3.97,pretty neat and friendly staff
villapableamountainresort,113.0,96.36,48.92,91.5,71.9,42.0,4.64,"Are you looking for the best place to feel peace and joy at the same time while enjoying a good ambiance and a perfect view? 

Come and have a wonderful experience at Villiapablea located at Dipolog City.

Based on my experience, I can say that this is the perfect one for family bondings, vacation, field trips, birthdays, wedding receptions and other celebrations! Because Villapablea has great staffs and Management that will cater you to satisfy your experience with enjoyable adventurous things to do."
villapableamountainresort,113.0,120.45,61.15,91.5,71.9,42.0,5.0,"Hospitality - 10/10
Food - 10/10
Ambiance - 10/10
Location - 10/10
Rooms - 10/10

Wifi nalang kulang 😁"
alintanaqa,113.0,120.45,61.15,73.2,71.9,42.0,4.82,"Thank you very much ma'am Leida for making my most special day of the year the best. Everything was beyond my expectation... from the perfect set-up, great food, nice cake, amenities, etc. It was an amazing birthday experience, no regrets."
azzurabeachresort,45.2,72.27,48.92,54.9,14.38,16.8,2.52,"Not good...water heater is not functioning, No TV station...not worth the price. 👎🏽👎🏽👎🏽"
azzurabeachresort,45.2,48.18,12.23,54.9,14.38,16.8,1.92,"What a huge disappointment! They don't give complete details about the reservation and payment policy. We made a reservation (for overnight stay) and have already prepared our budget based on the prices they provided but when we arrived at the resort, turned out there are different charges, which we were not informed. We had no choice because it was already late evening and we're already there. Lost all our energy during the overnight stay.. Crazy experience!! Ang mahal mahal ng cottage tapos iba pa presyo pag gabi. Limited lang pa talaga ang access.. daming extra charges for this and that 👎🏻 Hope this won't happen again. (Coz definitely, hindi na kami babalik!!)"
azzurabeachresort,22.6,48.18,36.69,36.6,14.38,16.8,1.75,"Based sa naexpirience ko. HINDI accommodating, HINDI hospitable ang mga WORKERS nila. HINDI malinis ang paligid. maraming pupu ng dog.
So disappointed."
azzurabeachresort,90.4,72.27,48.92,91.5,43.14,42.0,3.88,"Though they have poor customer service, but still the beach is amazing."
azzurabeachresort,45.2,72.27,12.23,36.6,28.76,8.4,2.03,"Me and my friends had the worst experience booking this place. We went there to unwind and enjoy but we get the opposite. Yes, ganun ka worst. Hindi po malinaw yung instructions and policy nila sa payment. Ang daming binabayaran, kapag nag overnight ka and stay over 7am, ibang entrance nanaman. Ang mamahal pa ng cottages. Seriously, 1,600 for a small cottage overnight? Hindi pa nagana lahat ng sockets. Ibang payment pa if you have a tent. Gusto sana naming hindi na matuloy the day we went there kasi sobrang layo ng price nung booking compared sa actual meeting with their rep, kaso sobrang layo na nang binyahe namin. We were so disappointed. Not the best customer service also, pwera na lang kay kuyang guard and one of their picnic area staff. Yun lang, overall the resort was far from being okay. We just had to maximize our payment pero never again."
azzurabeachresort,22.6,72.27,24.46,54.9,28.76,25.2,2.28,"DISAPPOINTED : EXPECTATIONS NOT MET!!!
 - Booked 2 new Villas not worth ,its pricy - water from the faucets are very dirty muddy /sandy toilets are filty. 
Customer service needs improvements ."
azzurabeachresort,90.4,72.27,24.46,54.9,28.76,25.2,2.96,"The customer service, especially on online bookings, is very poor. We’ve tried booking and inquiring for days and yet, it is still unsuccessful. They don’t even answer the calls or questions we are sending through messages. We had to ask someone to book directly just to make it possible. I hope you can improve on this matter. Even until now, we still have no response, just automated messages."
azzurabeachresort,67.8,60.23,24.46,73.2,28.76,12.6,2.67,Poor customer service. Hindi sumasagot sa calls and chats.
azzurabeachresort,113.0,120.45,48.92,91.5,57.52,33.6,4.65,Their Staff are so friendly and they are already secured in everything
azzurabeachresort,90.4,96.36,48.92,73.2,57.52,33.6,4.0,the staffs are accommodating and the atmosphere is nice
people,67.8,48.18,36.69,73.2,28.76,16.8,2.71,"Pag uwi naman galing Danmar, sobrang kati ng katawan namin"
people,45.2,72.27,12.23,36.6,14.38,8.4,1.89,"sobrang mahal. sobrang dumi, esp cr"
people,22.6,48.18,36.69,54.9,14.38,8.4,1.85,"I didn't go there myself but my friends went and we were on a call together. The resort is not worth going to.
The pools were not well maintained (One pool was green and mossy, and the other was yellow), the beach was not clean, and the same goes for the bathrooms and shower rooms, making the expensive entrance not worth the price and they didn't even get to swim because of how dirty it was. The environment looks nice but it doesn't really make up for it since it's advertised as a beach resort, not a park."
people,90.4,120.45,36.69,91.5,57.52,33.6,4.3,Highly recommended resort. really cool ambiance... peaceful place... try to visit dan mar
people,90.4,120.45,48.92,91.5,71.9,33.6,4.57,nice and Worth it highly recommended😍🥰
people,45.2,24.09,36.69,36.6,14.38,8.4,1.65,"Poor customer service. Bathroom door broken/no lock; A/C not working, TV not working. Expensive, not worth the pay. The management needs to have set standards."
people,113.0,96.36,48.92,91.5,57.52,33.6,4.41,I like the view.. the place is so relaxing
people,22.6,48.18,36.69,18.3,14.38,8.4,1.49,"Cr so dirty, no soap. Super barado ang cr. Surroundings full of trash."
people,45.2,72.27,48.92,73.2,28.76,33.6,3.02,"malumot na yung side ng adult pool and madumi yung water.. kailangan pa namin magreklamo den naglinis na cla. yung bubong ng cottages paayos na din po kasi my mga butas butas na.. add na dn po sila ng shower area and cr na dn po. on d other hand, i think the place is nice and air is fresh. thumb ups also to ur kiddie pool, d kids enjoyed it! cleanliness lang po tlaga and for sure people wil come and flock ur resort.  thanks!"
people,113.0,120.45,48.92,91.5,57.52,42.0,4.73,nice place to relax and enjoy with loveones
people,90.4,72.27,61.15,91.5,57.52,33.6,4.06,Unexpected day trip in this new resort🤗
people,113.0,96.36,48.92,91.5,71.9,33.6,4.55,"It was really nice at Bamboo Resort and Restaurant. Kahit sobrang layo worth it naman pagdating duon, The river fresh water i really love so lamig. 🥰 The resort offers affordable accommodation and all the staff were approachable. Can't wait to come back to your place for our next outing. Thank you again for the beautiful experience. ❤️"
people,90.4,72.27,12.23,54.9,28.76,25.2,2.84,Not accessible for sedan car
people,113.0,120.45,48.92,91.5,57.52,33.6,4.65,Maganda yung place 😊and very fresh ang water 😀
people,90.4,72.27,48.92,91.5,43.14,33.6,3.8,"nice po yung place kahit maliit lang,enjoy po kc ang lamig ng tubig😘😘❤❤"
people,90.4,120.45,36.69,73.2,57.52,25.2,4.03,were safe @ secure inside the resort @ the people there are approachable
people,113.0,120.45,48.92,91.5,71.9,42.0,4.88,its a recommended place to go! the view is picturesque....friendly and accomodating staff....will definitely go back...
people,113.0,120.45,48.92,91.5,71.9,33.6,4.79,"breathtaking view, serene n cozy ambiance, cool clean fresh air, very warm n accomodating staff...Best deal for nature adventure"
people,90.4,120.45,36.69,73.2,57.52,42.0,4.2,Everything was nice. We will surely visit again.
people,90.4,120.45,48.92,54.9,71.9,33.6,4.2,Very nice and cozy place. The owner and staff were also very accommodating. we enjoyed our swimming especially when the pool turned red 🥰🥰🥰
people,90.4,120.45,48.92,91.5,57.52,33.6,4.42,Ganda ng view dito at peaceful
people,90.4,72.27,61.15,36.6,43.14,33.6,3.37,"cold water, cheap fees worth the experience, friendly staff"
people,113.0,120.45,48.92,91.5,57.52,33.6,4.65,"Yes we highly recommend this place. The cleanliness, safe, staff, and the cold spring water. Overall 👍👍👍"
people,113.0,96.36,61.15,91.5,57.52,42.0,4.61,"It was the nicest relaxing experience I've had. The icy water, the staff,  and the place in general is 12/10."
people,90.4,96.36,36.69,91.5,57.52,42.0,4.14,"Nice Resort and VIEWS🌊⛱!!!

Pakirenovate niyo nalang po yung TREE HOUSE niyo MAAM/SIR para mas lalong gumanda😍😍😍...SALAMAT po sa magandang serbisyo niyo sa amin at sa FREE SHOOTING sa RESORT HEHEHE💙💙💙!!!"
people,22.6,24.09,24.46,36.6,14.38,8.4,1.31,"FYI Skyview Resort at San Roque / Skyview Resort, Sanroque Zamboanga City / Skyview Resort & Restaurant/ Skyview Resorts

Entrance fee 100 per head
Cottage 800

We went at your resort to have a pleasant stay with our family, to relax and unwind. But what we have experienced was a disaster.

The place is full of flies, parang bag bebreed ung mga langaw.

The resort is not organized, walang tubig ang toilets, madaming pusa at aso (nakagat ako)

I was bitten by a cat, there are more than 4 cats around. I informed the girl (maintanance at the gate). Sabi nila, hindi daw sakanila ung mga pusa in short “pusang gala” ung kumagat saakin.. then why its even in your gated property? Paano pag may rabies yun tapos kumagat pa ng ibang visitor?

Ung mga foods namin puno ng langaw, nag bigay sila isang candle which is not enough kasi thousands talaga ang mga langaw parang basurahan ung place.

Ung tubig sobrang kati. 😭😭

I have the right to complain especially more than 15 people kami na nag bayad ng 100 each at ung cottage nyong 800 na di namin maupuan or tambayan kasi puno ng langaw.

I do not recommend this resort at all."
people,90.4,120.45,36.69,73.2,57.52,42.0,4.2,Its a very satisfying feeling to be like in your own home when you stay in this resort!!!
people,90.4,96.36,36.69,91.5,57.52,42.0,4.14,"What I like most about Sunrise Family Resort aside from the place, house, pool, and ktv room are also the staffs and the owner who are very attentive and very friendly. I really recommend the place because you will feel that you are away from the city and you have the time to unwind and bond with your family and friends."
people,113.0,96.36,48.92,54.9,71.9,33.6,4.19,"The place is so cozy, homy, highly recommended for Family gatherings,class reunions, Birthdays, and many others , just see it yourself 👍👍😜"
people,113.0,96.36,48.92,73.2,71.9,42.0,4.45,"I highly recommend Sunrise Family Resort.. 
This is a homy, clean & private resort. 
Come one, come all friends & families...
Enjoy, have fun & have a wonderful memories, for you to have a story and experiences to share. 
⭐️⭐️⭐️⭐️⭐️"
people,113.0,96.36,48.92,91.5,71.9,33.6,4.55,"Sunrise Family Resort is beautiful, clean n a place that you can call a home for togetherness with frends n family..."
people,113.0,120.45,48.92,73.2,71.9,33.6,4.61,"yes thumbs up for this resort very homy clean rooms and pool, ang maganda kc covered ang swimming pool khit magbabad ka sa tubig dka mangigngitim kc hnde ka maiinitan ng araw..nice ktv room, immaculately clean amenities..responsive staff, bait ng may ari at friend ng may ari..this place is perfect for family bonding, bdays, ansd other special ocassions."
people,113.0,120.45,61.15,73.2,71.9,33.6,4.73,"So nice and clean, very accommodating owner, the staff are so kind and courteous 👍👍👍👍👍 thank you....."
people,113.0,120.45,48.92,73.2,57.52,42.0,4.55,食物種類多而美味，地方乾淨，服務態度非常友善，值得推介
HugotBeachHouse,45.2,72.27,48.92,73.2,43.14,33.6,3.16,"Im currently here. A perfect place for family gathering. I hope they will keep it clean, I see a floating diaper could be from a local villager. Overall its a nice place to relax."
HugotBeachHouse,113.0,120.45,61.15,91.5,71.9,42.0,5.0,"✨Family friendly, spacious n relaxing place, friendly staff very accommodating... 
⭐ ⭐ ⭐ ⭐ ⭐"
HugotBeachHouse,90.4,120.45,61.15,54.9,57.52,33.6,4.18,"⭐⭐⭐⭐⭐
FRIENDLY STAFFS
CLEAN PLACE
NICE  AND RELAXING AMBIANCE

will surely recommend it to my friends.."
HugotBeachHouse,90.4,120.45,48.92,91.5,43.14,33.6,4.28,"affordable, peaceful and amazing spot view with it's footbridge"
HugotBeachHouse,90.4,120.45,48.92,91.5,43.14,42.0,4.36,"Nice view,  nostalgic scenery,  refreshing water.  perfect spot ❤️ 🚣‍♂️🏊‍♂️"
HugotBeachHouse,90.4,120.45,48.92,91.5,71.9,42.0,4.65,"Highly recommended
⭐ ⭐ ⭐ ⭐ ⭐
nice ambiance, best place to spend w/ Family and Friends 
🌊🏊‍♀️🏝🚣‍♀️💛💛💛"
HugotBeachHouse,113.0,96.36,48.92,91.5,43.14,42.0,4.35,"This is a place where we can experience tranquility. We often spend our saturdays and sundays here. This place is so BEAUTIFUL, I swear🌊 Please visit here!🤍"
HugotBeachHouse,113.0,120.45,48.92,91.5,43.14,33.6,4.51,cleanliness place peaceful and fresh air😌
HugotBeachHouse,90.4,72.27,48.92,91.5,57.52,33.6,3.94,"Best place to unwind ❤️
You can find both peace and happiness 🤗❤️"
HugotBeachHouse,90.4,120.45,48.92,91.5,71.9,33.6,4.57,Thank you for the Free Accommodation for my Baby breastfeeding necessity ☺️ the whole place is very native and relaxing ❤️
PinkSandBeachStaCruzIsland,90.4,120.45,36.69,91.5,57.52,42.0,4.38,"the friendly people, serene environment, clear fresh sea water and amazing tour around"
PinkSandBeachStaCruzIsland,113.0,96.36,36.69,91.5,57.52,33.6,4.29,"Beautiful white sand beach speckled with pink  sand stones.  With blue/green waters around  and peaceful surroundings...

Locals are friendly & accomodating.  You can also buy souvenirs... Would visit again this year.... ❤️"
PinkSandBeachStaCruzIsland,90.4,72.27,48.92,91.5,43.14,42.0,3.88,Hopefully the local government continues to impose the no-plastic policy on the island and visitors strictly comply. Water gets deep quickly but very clean. Local residents sell food and drinking water. Highly-recommended island especially for good swimmers. :)
PinkSandBeachStaCruzIsland,113.0,120.45,48.92,91.5,57.52,33.6,4.65,"clean,safe,naturally beautiful beach......people there were so friendly n courteous.. i lje.zamboanga"
PinkSandBeachStaCruzIsland,113.0,96.36,36.69,91.5,57.52,42.0,4.37,Very relaxing place I Love this place.  Nice View nice place.
PinkSandBeachStaCruzIsland,113.0,96.36,36.69,91.5,71.9,33.6,4.43,very nice and clean so amazing
PinkSandBeachStaCruzIsland,113.0,96.36,36.69,91.5,43.14,42.0,4.23,I went to Santa Cruz island two years in a row. I love the unique pink beach. The crystal clear water and  the pink beach have remained in the same state as they were 20 years ago. Thanks to the city government for strict enforcement of regulations in the island and the cooperative guests.  Please visit this island enjoy swimming and don’t leave any waste.
PinkSandBeachStaCruzIsland,67.8,96.36,48.92,73.2,28.76,33.6,3.49,"The place is nice, but the comfort/bath  rooms needs improvement🙁"
PinkSandBeachStaCruzIsland,90.4,96.36,36.69,91.5,71.9,33.6,4.2,very nice and relaxing beach resort!
PinkSandBeachStaCruzIsland,113.0,120.45,48.92,91.5,57.52,42.0,4.73,crystal clear Beach...courteous tourism officers..
pitasisland,67.8,48.18,48.92,18.3,43.14,16.8,2.43,"Trading with a trusted account manager is what can make your dreams come through. For me, Mrs. Robert Stella Fx offers the best trading strategies to win. I never believed in any post recommending online trading until I gave her a try and the outcome was great for me. Making $15,750 out of $1000 was a whole lot of profit for me. you can contact her via
Email: robertstella385@gmail.com        
WhatsApp   +1 (717) 742-0664"
pitasisland,90.4,96.36,48.92,91.5,43.14,42.0,4.12,This island really gave us an Oslob Cebu vibes. We enjoyed the trip to the highest level. 😍🥰 Super amazing and worth it. ❤️💕 Tour guides are very kind and took care of us very much. 😘🥰 Will come back soon. 🙏🏼
PuertoVillaBeachResortOfficial,113.0,120.45,61.15,91.5,57.52,33.6,4.77,"All the staff is friendly, approachable and the place is quiet for relaxing worth to visit 👍"
PuertoVillaBeachResortOfficial,113.0,96.36,48.92,91.5,71.9,33.6,4.55,great place for a day out and refreshing pool with great cottages
PuertoVillaBeachResortOfficial,90.4,120.45,48.92,54.9,57.52,25.2,3.97,"nice place,they assist u if nid some help.clean place"
PuertoVillaBeachResortOfficial,113.0,96.36,61.15,91.5,71.9,33.6,4.67,Puerto villa beach and resort such a relaxing place that can makes you feel good and fresh at the same time.. can't wait to take my family there .. Again Puerto villa beach and resort are exciting and crystal sightseeing
PuertoVillaBeachResortOfficial,90.4,120.45,36.69,91.5,71.9,42.0,4.53,"Great pool I really enjoy the sliding, and of course the beautiful cottage where you can enjoy watching the sunset while sitting on the cottage."
PuertoVillaBeachResortOfficial,45.2,72.27,48.92,73.2,43.14,33.6,3.16,"Pool is polluted .. so many people. Wash area
Clogged.. no maintaining personnels around.. floating pampers at the beach . My first time here. Hope cleanliness be first priority..
But the place is cool.. looking forward managent can look into the cleanliness of the place.
Thank you.."
PuertoVillaBeachResortOfficial,67.8,96.36,48.92,91.5,28.76,33.6,3.67,We enjoyed it with family but there’s no refrigerator inside the rooms
PuertoVillaBeachResortOfficial,90.4,72.27,61.15,73.2,57.52,25.2,3.8,good place more affordable
PuertoVillaBeachResortOfficial,90.4,96.36,61.15,73.2,57.52,42.0,4.21,nice sliding 🤩and Good ambience ❤️🙏🤩
PuertoVillaBeachResortOfficial,90.4,72.27,48.92,91.5,43.14,33.6,3.8,nice place to Chillax with friends and family love one's 🥰💕
Shariffjane,113.0,96.36,36.69,91.5,57.52,42.0,4.37,it was such a pleasure to be with this place... it's perfect for me🥰 serenity all over the place and love of nature is visible ❤️
Shariffjane,113.0,120.45,61.15,91.5,71.9,42.0,5.0,It was a perfect wonderful day 😍
Shariffjane,113.0,96.36,48.92,91.5,57.52,42.0,4.49,Surely Babalik balikan❤️❤️❤️
thebeachhouseatwestcoastpatalon,90.4,120.45,48.92,91.5,43.14,33.6,4.28,The  place is nice where you can chill and relax with friends and family...
thebeachhouseatwestcoastpatalon,67.8,48.18,48.92,73.2,43.14,16.8,2.98,Pangit lang ng rules nila. Masyado nila dinadown yung mga taong may psoriasis at other skin allergies. Bawal daw mag swimming yung taong may ganyan. Pasalamat kayo wala kayo ganyan. FYI hindi po contagious mga yan. Aral muna kayo. Sa genes yan. Kaya hindi dapat pandirihan. Kahit mga Hollywood star or anak ng mga artista like team Kramer may skin allergy anak nila.
thebeachhouseatwestcoastpatalon,90.4,120.45,61.15,91.5,57.52,33.6,4.55,Super ganda worth it tlga sha! ❤️❤️❤️
thebeachhouseatwestcoastpatalon,67.8,48.18,24.46,18.3,28.76,8.4,1.96,"Ayusin nyo po reservation/booking process  nyo! Our  team already got confirmation from you. When we were about to pay the reservation fee, nabigay na raw sa iba yung particular date. Nakakita lang kayo ng pera, nasilaw agad! 

Our event is just 2 days from now! Now san namin gaganapin to? You have no idea of the bad impacts to your customers dahil mukhang pera kayo!"
vistadelmarresortzamboanga,90.4,120.45,48.92,91.5,43.14,33.6,4.28,Nice place for sunset view 🌄
vistadelmarresortzamboanga,22.6,48.18,12.23,36.6,14.38,8.4,1.42,"Poor customer service. Not flexible to the needs of her customers. Insensitive manager, the way she explains the circumstance is as if we're her staff. Put that into your head Ms. Manager while you're talking. You're such a hassle! No maintenance in the venue."
vistadelmarresortzamboanga,113.0,120.45,48.92,91.5,71.9,33.6,4.79,"Extraordinary view, friendly and caring staff, very clean rooms and FOOD TO DIE FOR!!!! I love it here! will definitely return!!!"
vistadelmarresortzamboanga,22.6,72.27,24.46,36.6,28.76,8.4,1.93,very very bad service..waited more than 45min for them to get our orders..understaff..nobody to welcome you when you arrive..need to call the waiter several time..on extreme i called thier number just for them to approach us for our order..so dissapointed w the service of this restaurant..definitely not coming back
vistadelmarresortzamboanga,90.4,72.27,48.92,73.2,43.14,33.6,3.61,"I’ve been here before some place have changed but it is still Nice beach to hangout, clean with complete water and waste facilities."
vistadelmarresortzamboanga,90.4,96.36,36.69,91.5,43.14,33.6,3.92,Got nice view and perfect ambiance. nice place to gather together with old friends
vistadelmarresortzamboanga,90.4,72.27,48.92,91.5,57.52,33.6,3.94,"LA VISTA DEL MAR RESORT&RESTO is one of my fav places every visits I make to my hometown Zamboanga City because of the cool breezy sceneries&heavenly delicious Pansit Sotanghon which I crave, any time of the day!!!!"
vistadelmarresortzamboanga,45.2,72.27,24.46,54.9,28.76,8.4,2.34,"the cottage is very expensive at Luma na, yung grill Luma din, kung gusto MO magsugba Hindi mo alam kung saan ka pupunta, sabi ng staff newly renovated daw Hindi naman."
vistadelmarresortzamboanga,90.4,120.45,36.69,73.2,71.9,33.6,4.26,"The ambiance is beautiful. We enjoyed staying there to wait for the sunset and had dinner. Masarap ang food nila and the staff are very polite and accomodating. Just maybe the beach needs improvement, medyu di magandang tingnan yung mga kalat sa beach..pero konti lang naman. All in all we loved the stay there. ��"
